Market,Variety,Modal_Price,Commodity_Code,month,year,season,day_of_week
0,1,3405,13,5,2015,4,6
0,1,3340,13,5,2015,4,3
0,1,3553,13,6,2015,1,4
0,1,3560,13,6,2015,1,5
0,1,3340,13,6,2015,1,1
0,1,3421,13,6,2015,1,2
0,1,3215,13,7,2015,1,4
0,1,3325,13,7,2015,1,5
0,1,3321,13,7,2015,1,6
0,1,3280,13,7,2015,1,4
0,1,3361,13,8,2015,0,2
0,1,3390,13,8,2015,0,5
0,1,3301,13,8,2015,0,4
0,1,3301,13,8,2015,0,1
0,1,3251,13,8,2015,0,2
0,1,3251,13,8,2015,0,3
0,1,3410,13,8,2015,0,2
0,1,3426,13,9,2015,0,4
0,1,3656,13,9,2015,0,1
0,1,3701,13,9,2015,0,6
0,1,3810,13,9,2015,0,2
0,1,3772,13,9,2015,0,3
0,1,3800,13,10,2015,2,3
0,1,3800,13,10,2015,2,4
0,1,3751,13,10,2015,2,4
0,1,3670,13,10,2015,2,1
0,1,3750,13,10,2015,2,2
0,1,3785,13,10,2015,2,4
0,1,3765,13,10,2015,2,5
0,1,3740,13,10,2015,2,1
0,1,3700,13,11,2015,2,4
0,1,3640,13,11,2015,2,1
0,1,3620,13,11,2015,2,3
0,1,3655,13,11,2015,2,5
0,1,3672,13,11,2015,2,4
0,1,3800,13,5,2014,4,1
0,1,3950,13,5,2014,4,3
0,1,3772,13,7,2014,1,3
0,1,3250,13,9,2014,0,3
0,1,3275,13,9,2014,0,5
0,1,3341,13,10,2014,2,6
0,1,3375,13,10,2014,2,1
0,1,3300,13,10,2014,2,3
0,1,3340,13,10,2014,2,3
0,1,2805,13,0,2018,5,1
0,1,2810,13,0,2018,5,2
0,1,2850,13,0,2018,5,5
0,1,3000,13,0,2018,5,3
0,1,3015,13,0,2018,5,4
0,1,3150,13,0,2018,5,5
0,1,3608,13,0,2018,5,3
0,1,3435,13,1,2018,5,4
0,1,3636,13,1,2018,5,5
0,1,3362,13,1,2018,5,6
0,1,3312,13,1,2018,5,1
0,1,3493,13,2,2018,3,4
0,1,3575,13,2,2018,3,6
0,1,3600,13,2,2018,3,1
0,1,3615,13,2,2018,3,2
0,1,3400,13,3,2018,3,1
0,1,3501,13,3,2018,3,5
0,1,3280,13,4,2018,4,5
0,1,3505,13,4,2018,4,6
0,1,3500,13,4,2018,4,6
0,1,3530,13,4,2018,4,3
0,1,3150,13,5,2018,4,5
0,1,3300,13,5,2018,4,4
0,1,3325,13,5,2018,4,5
0,1,3225,13,6,2018,1,1
0,1,3375,13,6,2018,1,1
0,1,3250,13,6,2018,1,6
0,1,2900,13,6,2018,1,1
0,1,3425,13,6,2018,1,2
0,1,3325,13,7,2018,1,2
0,1,3300,13,7,2018,1,5
0,1,3275,13,7,2018,1,4
0,1,3281,13,7,2018,1,4
0,1,2950,13,9,2018,0,1
0,1,3100,13,9,2018,0,1
0,1,3100,13,9,2018,0,2
0,1,3150,13,9,2018,0,6
0,1,3250,13,10,2018,2,5
0,1,3300,13,10,2018,2,2
0,1,3320,13,10,2018,2,5
0,1,3260,13,11,2018,2,4
0,1,3680,13,0,2016,5,4
0,1,3750,13,0,2016,5,2
0,1,3735,13,0,2016,5,6
0,1,3741,13,0,2016,5,6
0,1,3731,13,1,2016,5,1
0,1,3735,13,1,2016,5,4
0,1,3700,13,1,2016,5,4
0,1,3671,13,2,2016,3,2
0,1,3670,13,2,2016,3,6
0,1,3690,13,2,2016,3,3
0,1,3700,13,2,2016,3,4
0,1,3635,13,2,2016,3,3
0,1,3880,13,2,2016,3,2
0,1,3914,13,2,2016,3,3
0,1,3900,13,3,2016,3,5
0,1,3945,13,3,2016,3,1
0,1,3940,13,3,2016,3,2
0,1,3945,13,3,2016,3,3
0,1,3900,13,3,2016,3,6
0,1,3820,13,5,2016,4,4
0,1,3790,13,5,2016,4,1
0,1,3751,13,5,2016,4,2
0,1,3500,13,5,2016,4,4
0,1,3715,13,6,2016,1,5
0,1,3610,13,6,2016,1,6
0,1,3650,13,6,2016,1,4
0,1,3480,13,7,2016,1,5
0,1,3500,13,7,2016,1,5
0,1,3425,13,7,2016,1,5
0,1,3335,13,7,2016,1,5
0,1,3250,13,8,2016,0,6
0,1,3287,13,8,2016,0,4
0,1,2175,13,9,2016,0,4
0,1,2330,13,10,2016,2,4
0,1,2400,13,10,2016,2,6
0,1,2400,13,10,2016,2,6
0,1,2400,13,10,2016,2,5
0,1,2500,13,10,2016,2,6
0,1,2550,13,11,2016,2,6
0,1,2650,13,11,2016,2,3
0,1,2675,13,11,2016,2,4
0,1,2675,13,11,2016,2,5
0,1,2607,13,11,2016,2,2
0,1,2530,13,11,2016,2,1
0,1,2550,13,0,2017,5,3
0,1,2560,13,0,2017,5,1
0,1,2550,13,0,2017,5,1
0,1,2610,13,1,2017,5,2
0,1,2550,13,1,2017,5,5
0,1,2411,13,1,2017,5,1
0,1,2538,13,2,2017,3,3
0,1,2600,13,2,2017,3,3
0,1,2610,13,2,2017,3,3
0,1,2730,13,3,2017,3,4
0,1,2550,13,5,2017,4,4
0,1,2535,13,5,2017,4,5
0,1,2550,13,6,2017,1,6
0,1,2715,13,6,2017,1,1
0,1,2680,13,7,2017,1,3
0,1,2750,13,7,2017,1,5
0,1,2780,13,7,2017,1,3
0,1,2740,13,7,2017,1,5
0,1,2875,13,7,2017,1,6
0,1,3025,13,7,2017,1,3
0,1,3027,13,7,2017,1,2
0,1,2900,13,8,2017,0,1
0,1,2780,13,8,2017,0,3
0,1,2875,13,8,2017,0,1
0,1,2750,13,8,2017,0,5
0,1,2820,13,8,2017,0,1
0,1,2750,13,8,2017,0,4
0,1,2450,13,10,2017,2,6
0,1,2450,13,10,2017,2,1
0,1,2750,13,11,2017,2,4
0,1,4000,13,0,2020,5,6
0,1,3715,13,0,2020,5,2
0,1,3750,13,0,2020,5,3
0,1,3750,13,0,2020,5,3
0,1,3700,13,0,2020,5,2
0,1,3700,13,1,2020,5,1
0,1,3620,13,4,2020,4,1
0,1,3507,13,4,2020,4,3
0,1,3482,13,4,2020,4,2
0,1,3470,13,5,2020,4,2
0,1,3335,13,5,2020,4,1
0,1,3500,13,5,2020,4,2
0,1,3350,13,7,2020,1,1
0,1,3310,13,0,2019,5,6
0,1,3455,13,0,2019,5,1
0,1,3470,13,0,2019,5,4
0,1,3555,13,0,2019,5,1
0,1,3620,13,0,2019,5,4
0,1,3560,13,1,2019,5,5
0,1,3535,13,1,2019,5,3
0,1,3575,13,3,2019,3,2
0,1,3540,13,3,2019,3,2
0,1,3580,13,3,2019,3,3
0,1,3565,13,4,2019,4,4
0,1,3570,13,5,2019,4,1
0,1,3540,13,5,2019,4,4
0,1,3535,13,5,2019,4,6
0,1,3535,13,5,2019,4,2
0,1,3460,13,6,2019,1,6
0,1,3540,13,6,2019,1,6
0,1,3570,13,6,2019,1,1
0,1,3510,13,6,2019,1,3
0,1,3535,13,7,2019,1,5
0,1,3530,13,7,2019,1,2
0,1,3450,13,7,2019,1,3
0,1,3575,13,8,2019,0,1
0,1,3660,13,8,2019,0,5
0,1,3650,13,9,2019,0,2
0,1,3550,13,9,2019,0,6
0,1,3322,13,10,2019,2,3
